Paper,Passage,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Subject,Topic,Year,Image Url
GS2,"In India, the segregation of municipal waste at source is rare. Recycling is mostly with the informal sector. More than three-fourths of the municipal budget goes into collection and transportation, which leaves very little for processing/resource recovery and disposal. Where does waste-to-energy fit into all this? Ideally it fits in the chain after segregation (between wet waste and the rest), collection, recycling, and before getting to the landfill. Which technology is most appropriate in converting waste to energy depends on what is in the waste (that is biodegradable versus non- biodegradable component) and its calorific value. The biodegradable component of India's municipal solid waste is a little over SO per cent, and bio methanation offers a major solution for processing this.",Which one of the following statements best reflects the crux of the passage? [2023/32],Generation of energy from municipal solid waste is inexpensive.,Bio methanation is the most ideal way of generating energy from municipal solid waste.,Segregation of municipal solid waste is the first step in ensuring the success of waste-to-energy plants.,The biodegradable component of India's municipal solid waste is not adequate to provide energy efficiently/effectively.,C,,Reading Comprehension,,2023,
GS2,"There is a claim that organic farming is inherently safer and healthier. The reality is that because the organic farming industry is still young and not well-regulated in India, farmers and consumers, alike, are not only confused about what products are best for them. but sometimes use products in ways that could harm them as well. For example, since organic fertilizers are difficult to obtain on a large scale in India, farmers often use farmyard manure, which may contain toxic chemicals and heavy metals. Certain plant sprays, such as Datura flower and leaf spray, have an element called atropine. If it is not applied in the right dose, it can act on the nervous system of the consumer. Unfortunately, how much and when to use it are not well-researched or regulated issues.","Based on the above passage, the following assumptions have been made:\n1. Organic farming is inherently unsafe for both farmers and consumers.\n2. Farmers and consumers need to be educated about eco-friendly food.\nWhich of the assumptions given above is/are correct? [2023/33]",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,,Reading Comprehension,,2023,
GS2,"There is a claim that organic farming is inherently safer and healthier. The reality is that because the organic farming industry is still young and not well-regulated in India, farmers and consumers, alike, are not only confused about what products are best for them. but sometimes use products in ways that could harm them as well. For example, since organic fertilizers are difficult to obtain on a large scale in India, farmers often use farmyard manure, which may contain toxic chemicals and heavy metals. Certain plant sprays, such as Datura flower and leaf spray, have an element called atropine. If it is not applied in the right dose, it can act on the nervous system of the consumer. Unfortunately, how much and when to use it are not well-researched or regulated issues.","Which one of the following statements best reflects the most logical, rational and practical message conveyed by the author of the passage? [2023/34]","In India, organic farming should not be promoted as a substitute for conventional farming.",There are no safe organic alternatives to chemical fertilizers.,"In India, farmers need to be guided and helped to make their organic farming sustainable.",The aim of organic farming should not be to generate huge profits as there is still no global market for its products.,C,,Reading Comprehension,,2023,
GS2,"Food consumption patterns have changed substantially in India over the past few decades. This has resulted in the disappearance of many nutritious foods such as millets. While food grain production has increased over five times since independence, it has not sufficiently addressed the issue of malnutrition For long, the Which of the assumptions given above is,'are agriculture sector focussed on increasing food production particularly staples, which led to lower production and consumption of indigenous traditional crops/grains, fruits and other vegetables, impacting food and nutrition security in the process. Further, intensive, monoculture agriculture practices can perpetuate the food and nutrition security problem by degrading the quality of land, water and food derived through them.","Based on the above passage, the following assumptions have been made :\n\n1. To implement the Sustainable Development Goals and to achieve zero-hunger goal, monoculture agriculture practices are inevitable even if they do not address malnutrition.\n2. Dependence on a few crops has negative consequences for human health and the ecosystem.\n3. Government policies regarding food planning need to incorporate nutritional security\n4. For the present monoculture agriculture practices, farmers receive subsidies in various ways and government offers remunerative prices for grains and therefore they do not tend to consider\n\nWhich of the above assumptions are valid? [2023/35]","1,2 and 4 only",2 and 3 only,3 and 4 only,"1,2,3 and 4",B,,Reading Comprehension,,2023,
GS2,"Scientists studied the vernal window transition period from winter to the growing season. They found that warmer winters with less snow resulted in a longer lag time between spring events and a more protracted vernal window. This change in the spring timetable has ecological, social and economic consequences for agriculture, fisheries and tourism. AS the ice melts earlier the birds don't return, causing a delay, or lengthening in springtime ecological events.",With reference to the above passage following assumptions have been made:\n1. Global warming is causing spring to come early and for longer durations.\n2. Early spring and longer period of spring is not good for bird populations.\nWhich of the above assumptions is/are correct? [2023/41],1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,,Reading Comprehension,,2023,
GS2,"A global analysis of nitrogen use efficiency- a measure of the amount of nitrogen a plant takes in to grow versus what is left behind as pollution - says that using too much fertilizers will lead to increased pollution of waterways and the air. Currently, the global average for nitrogen use efficiency is approximately 0.4, meaning 40 per cent of the total nitrogen added to cropland goes into the harvested crop while 60 per cent is lost to the environment, says a study. More than half of the world's population is nourished by food grow-n with fertilizers containing synthetic nitrogen, which is needed to produce high crop yields. Plants: take the nitrogen they need to grow, and the excess is left in the ground, water, and air. This results in significant emissions of nitrous oxide, a potent greenhouse and ozone depleting gas, and other forms of nitrogen pollution, including eutrophication of lakes and rivers and contamination of river water.","Which one of the following statements best reflects the most logical, rational and crucial message implied by the passage? $[2023/42]$",An enhanced efficiency of use of nitrogen is imperative for both food production and environment.,Production of synthetic nitrogen fertilizers cannot be stopped as it will adversely affect global food security.,Alternatives to crops that require excess of nitrogen should he identified and cultivated.,"Conventional agriculture using synthetic fertilizers should be replaced with agroforestry, agroecosystems, and organic farming.",A,,Reading Comprehension,,2023,
GS2,"Along with sustainable lifestyles, climate justice is regarded as a significant principle in environmental parlance. Both the principles have bearings on political and economic choices of the nation. So far, in our climate change summits or compacts, both the principles have eluded consensus among nations. Justice, in the judicial sense, is well defined. However, in the context of climate change, it has scientific as well as socio-political connotations. The crucial question in the next few years will be how resources, technologies and regulations are used to support the victims of climate change. Justice in climate is not confined to actions relating to mitigation. but includes the wider notion of support for adaptation to climate change and compensation by these natural numbers? for loss and damage.","Which one of the following statements best reflects the most logical, rational and crucial message conveyed by the passage?",Climate justice should be ingrained in detail in the rules of all the new climate compacts/agreements.,Environmental resources are unevenly distributed and exploited across the globe.,There is an impending issue of dealing with a huge number of climate change victims/climate refugees.,Climate change in all its connotations is mostly due to developed countries and therefore their share of burden should he more.,A,,Reading Comprehension,,2023,
GS2,"Sourcing food from non-agricultural lands (uncultivated systems such as forests, wetlands, pastures, etc) in addition to agricultural lands enables a systemic approach to food consumption. It allows rural and tribal communities to sustain themselves for the whole year and steer clear of natural disasters and season-induced shortfalls of agricultural food. Since the productivity of trees is often more resilient to adverse weather conditions than annual crops, forest foods often provide a safety net during periods of food shortages caused by crop failure, forest foods also make important contributions during seasonal crop production gaps.",Which one of the following statements best reflects the most logical and rational message conveyed by the author of the passage?,Food yielding trees should replace other trees in rural and tribal areas and community owned lands.,Food security cannot be ensured in India with the present practice of conventional agriculture.,Wastelands and degraded areas in India should be converted into agroforestry systems to help the poor.,Agroecosystems should be developed in addition to or along with conventional agriculture.,D,,Reading Comprehension,,2023,
GS2,"While awareness on use/misuse and abuse of antibiotics is common knowledge, as is the impact of dosing poultry with antibiotics, the environmental impact of antibiotics-manufacturing companies not treating their waste has scarcely been discussed at any length or seriousness thus far Pollution from antibiotics factories is fuelling the rise of drug-resistant infections. The occurrence of drug-resistant bacteria surrounding the pharma manufacturing plants is well known.",Which one of the following statements best reflects the most logical and practical message conveyed by the passage?,It is necessary to put proper effluent treatment protocols in place.,It is necessary to promote environmental awareness among people.,"Spread of drug-resistant bacteria cannot be done away with, as it is inherent in modern medical care.","Pharma-manufacturing companies should be set up in remote rural areas, away from crowded towns and cities.",A,,Reading Comprehension,,2023,
GS2,"Benefits of good quality school education accrue only when students complete and leave school after having acquired the gateway skills Like one learns to walk before running, similarly one picks up advanced skills only after picking the basic foundational skills. The advent of the knowledge economy poses new challenges, and one of the severe consequences of having an uneducated workforce will be our inability to keep pace with the global economy. Without a strong learning foundation at the primary level, there can be no improvement in higher education or skill development.",Which one of the following statements best reflects the crux of the passage?,"To become a global power, India needs to invest in universal quality education.",India is unable to become a global power because it is not focussing or promoting knowledge economy.,Our education system should focus more on imparting skills during higher education.,Parents of many school children are illiterate and are unaware of the benefits of quality education.,A,,Reading Comprehension,,2023,
GS2,"The paradox of choice is illustrated by the story of Buridan's ass. Jean Buridan, the 14th century philosopher, wrote about free will and the inability to choose due to numerous choices and uncertainties. In the story, a donkey stands between two equally appealing stacks of hay. Unable to decide which to eat, it starves to death. Changes in technology and innovations such as smart phones and tablets only exacerbate our glut of choices. Constant connectivity and by using both the Statements together. overconsumption of real-time data and social media can leave little room for self-reflection and rest, making decisions more difficult. Life is about choices. Many people are overwhelmed with attractive life choices, yet find themselves unhappy and anxious.",Which one of the following statements best reflects the most logical message implied by the above passage? [2023/60],Modern technology enfeebles societal structure and makes life difficult,Modern life is full of uncertainties and endless difficult choices.,We are influenced by the opinion of others and have no courage to follow our own convictions.,"In our lives, having too few choices may not be a good thing, but having too many can be equally as difficult.",B,,Reading Comprehension,,2023,
GS2,"Household finance in India is unique. We have a tendency to invest heavily in physical assets such as gold and property. Steps to encourage the financialization of savings are critical. A populace accustomed to traditional processes will not simply jump into financialization. Hurdles to change include onerous bureaucracy, a scepticism of organized financial institutions, a lack of basic information about which of the myriad services and providers is best for each family, and how (and even if) one can make the transition between them if necessary.","Regarding the financialization of household savings, which of the following statements best reflect the solutions that are implied by the passage? [2023/62]",1 and 2 only,2 and 3 only,1 and 3 only,"1,2, and 3",D,,Reading Comprehension,,2023,
GS2,"Pharmaceutical patents grant protection to the patentee for the duration of the patent term. The patentees enjoy the liberty to determine the prices of medicines, which is time-limited to the period of monopoly, but could be unaffordable to the public. Such patent protection offered to the patentees is believed to benefit the public over the longer term through innovations and research and development (R&D), although it comes at a cost, in the nature of higher prices for the patented medicine. The patent regime and price protection through a legally validated high price for the medicine during the currency of the patent provide the patentee with a legitimate mechanism to get returns on the costs incurred in innovation and research.","Based on the above passage, the following assumptions have been made: 1. Patent protection given to patentees puts a huge burden on public's purchasing power in accessing patented medicines. 2. Dependence on other countries for pharmaceutical products is a huge burden for developing and poor countries. 3. Providing medicines to the public at affordable prices is a key goal during the public health policy design in many countries. 4. Governments need to find an appropriate balance between the rights of patentees and the requirements of the patients. Which of the above assumptions are valid? [2023/63]",1 and 2,1 and 4,3 and 4,2 and 3,B,,Reading Comprehension,,2023,
GS2,"India should ensure the growth of the digital economy while keeping personal data of citizens secure and protected. No one will innovate in a surveillance-oriented environment or in a place where an individual's personal information is compromised. The ultimate control of data must reside with the individuals who generate it; they should be enabled to use, restrict, or monetise it as they wish. Therefore, data protection laws should enable the right End of innovation that is user-centric and privacy protecting.","Based on the above passage, the following assumptions have been made: 1. Protection of privacy is not just a right, but it has value to the economy. 2. There is a fundamental link between privacy and innovation. Which of the above assumptions is/are valid? [2023/64]",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,,Reading Comprehension,,2023,
GS2,"In India, while the unemployment rate is frequently used measure of poor performance of the economy, under conditions of rising school and college enrolment, it paints an inaccurate picture. The reported unemployment rate is dominated by the experience of younger Indians who face higher employment challenges and exhibit greater willingness to wait for the right job than their older peers. The unemployment challenge is greater for people with secondary or higher education, and rising education levels inflate unemployment challenges.",Which one of the following statements most likely reflects as to what the author of the passage intends to say?,Enrolment in schools and colleges is high but there is no quality education.,Unemployment must be seen as a function of rising education and aspirations of young Indians,There are no labour-intensive industries to accommodate the huge number of unemployed people.,The education system should be properly designed so as to enable the educated people to be self-employed,B,,Reading Comprehension,,2023,
GS2,"Science by itself is not enough, there must be a force and discipline outside the sciences to coordinate them and point to a when the goal itself has not been rightly placed. What science needs is philosophy - the analysis of scientific method and the coordination of scientific purposes and results; without this, any science must be superficial. Government suffers, precisely like science, for lack of philosophy, Philosophy bears to science the same relationship which statesmanship bears to politics: movement guided by total knowledge and perspective, as against aimless and individual seeking. Just as the pursuit of knowledge becomes scholasticism when divorced from the actual needs of men and life, so the pursuit of politics becomes a following terms best expresses the ultimate destructive bedlam when divorced from goal of the state? science and philosophy.","Which one of the following statements best reflects the most rational, logical and practical message conveyed by the passage?","Modern statesmen need to be well trained in scientific methods and philosophical thinking to enable them to have a better perspective of their roles, responsibilities, and goals.",It is not desirable to have Governments managed by empirical statesmen unless well mixed with others who are grounded in learning and reflect wisdom,"As the statesmen/bureaucrats are the products of a society, it is desirable to have a system of education in a society that focuses on training its citizens in scientific method and philosophical thinking from a very early age.",It is desirable that all scientists need to be philosophers as well to make their work goal-oriented and thus purposeful and useful to the society.,A,,Reading Comprehension,,2023,
GS2,"The last end of the state is not to dominate men, nor to restrain them by fear, rather it is so to free each man from fear that he may live and act with full security and without injury to himself or his neighbour. The end of the state, I repeat, is not to make rational beings into brute beasts and machines. It is to enable their bodies and their minds to function safely. It is to lead men to live by, and to exercise, a free reason; that they may not waste their strength in hatred, anger and guile, nor act unfairly toward one another.","Based on the above passage, which one of the following terms best expresses the ultimate goal of the state?",Personal safety,Health of body and mind,Communal harmony,Liberty,D,,Reading Comprehension,,2023,
GS2,The main threat to maintaining progress in human development comes from the increasingly evident unsustainability of production and consumption patterns. Current production models rely heavily on fossil fuels. We now know that this is unsustainable because the resources are finite. The close link between economic growth and greenhouse gas emissions needs to be severed for human development to become truly sustainable. Some developed countries have begun to alleviate the worst effects by expanding recycling and investing in public transport and infrastructure. But most developing countries are hampered by the high costs and low availability of clean energy sources. Developed countries need to support developing countries' transition to sustainable human development.,Unsustainability in production pattern is due to which of the following?\n1.Heavy dependence on fossil fuels\n2.Limited availability of resources\n3.Expansion of recycling,1 and 2 only,2 only,1 and 3 only,"1, 2 and 3",A,,Reading Comprehension,,2022,
GS2,The main threat to maintaining progress in human development comes from the increasingly evident unsustainability of production and consumption patterns. Current production models rely heavily on fossil fuels. We now know that this is unsustainable because the resources are finite. The close link between economic growth and greenhouse gas emissions needs to be severed for human development to become truly sustainable. Some developed countries have begun to alleviate the worst effects by expanding recycling and investing in public transport and infrastructure. But most developing countries are hampered by the high costs and low availability of clean energy sources. Developed countries need to support developing countries' transition to sustainable human development.,Consider the following statements:\nDeveloped countries can support developing countries' transition to sustainable human development by\n1. making clean sources available at low cost\n2.providing loans for improving their public transport at nominal interest rates\n3.encouraging them to change their production and consumption patterns,1 only,1 and 2 only,2 and 3 only,"1, 2 and 3",B,,Reading Comprehension,,2022,
GS2,"Unless the forces and tendencies which are responsible for destroying the country's environment are checked in the near future and afforestation Of denuded areas is taken up on a massive scale, the harshness of the climatic conditions and soil erosion by wind and water will increase to such an extent that agriculture, which is the mainstay of our people, will gradually become impossible. The desert countries of the world and our own desert areas in Rajasthan are a grim reminder of the consequences of large-scale deforestation. Pockets Of desert-like landscape are now appearing in other parts of the country including the Sutlej-Ganga Plains and the Deccan Plateau. Where only a few decades back there used to be lush green forests with perennial streams and springs, there is only brown earth, bare of vegetation, without any water in the streams and springs except in the rainy season.","According to the passage given above, deforestation and denudation will ultimately lead to which of the following?\n1. Depletion of soil resource\n2. Shortage of land for the common\n3. Lack of water for cultivation",1 and 2 only,2 and 3 only,1 and 3 only,"l, 2 and 3",C,,Reading Comprehension,,2022,
GS2,"""In simple matters like shoe-making, we think only a specially trained person will serve our purpose,' but in politics, we presume that everyone who knows how to get votes knows how to administer a State. When we are ill, we call for a trained physician, whose degree is a guarantee of specific preparation and technical competence—we do not ask for the handsomest physician, or the most eloquent one: well then, when the whole State is ill should we not look for the service and guidance of the wisest and the best?""",Which one of the following statements best reflects the message of the author of the passage?,"We assume that in a democracy, any politician is qualified to administer a State.",Politicians should be selected from those trained in administration.,We need to devise a method of barring incompetence from public office.,"As voters select their administrators, the eligibility of politicians to administer a State cannot be questioned.",B,,Reading Comprehension,,2022,
GS2,"The poverty line is quite unsatisfactory when it comes to grasping the extent of poverty in India. It is not only because of its extremely narrow definition of is poor' and the debatable methodology' used to count the poor, but also because of a more fundamental assumption underlying it. It exclusively relies on the notion of poverty as insufficient income or insufficient purchasing power. One can better categorize it by calling it income poverty. If poverty is ultimately about deprivations affecting human well-being, then income poverty is only one aspect of it. Poverty of a life, in our view, lies not merely in the impoverished state in which the person actually lives, but also in the lack of real opportunity given by social constraints as well as personal circumstances—to choose other types of living. Even the relevance of low incomes, meagre possessions, and other aspects of what are standardly seen as economic poverty relate ultimately to their role in curtailing capabilities, i.e., their role in severely restricting the choices people have to lead variable and valued lives.",Why is the methodology adopted in India to count the 'poor' debatable?,There is some confusion regarding what should constitute the 'poverty line',There are wide diversities in the condition of the rural and urban poor.,There is no uniform global standard for measuring income poverty,It is based on the proposition of poverty as meagre income or buying capacity.,D,,Reading Comprehension,,2022,
GS2,"The poverty line is quite unsatisfactory when it comes to grasping the extent of poverty in India. It is not only because of its extremely narrow definition of is poor' and the debatable methodology' used to count the poor, but also because of a more fundamental assumption underlying it. It exclusively relies on the notion of poverty as insufficient income or insufficient purchasing power. One can better categorize it by calling it income poverty. If poverty is ultimately about deprivations affecting human well-being, then income poverty is only one aspect of it. Poverty of a life, in our view, lies not merely in the impoverished state in which the person actually lives, but also in the lack of real opportunity given by social constraints as well as personal circumstances—to choose other types of living. Even the relevance of low incomes, meagre possessions, and other aspects of what are standardly seen as economic poverty relate ultimately to their role in curtailing capabilities, i.e., their role in severely restricting the choices people have to lead variable and valued lives.",Why is income poverty only one measure of counting the 'poor'?,It talks of only one kind of deprivation ignoring all others.,Other deprivations in a human life have nothing to do with lack of purchasing power.,"Income poverty is not a permanent condition, it changes from time to time.",Income poverty restricts human choices only at a point of time.,A,,Reading Comprehension,,2022,
GS2,"The poverty line is quite unsatisfactory when it comes to grasping the extent of poverty in India. It is not only because of its extremely narrow definition of is poor' and the debatable methodology' used to count the poor, but also because of a more fundamental assumption underlying it. It exclusively relies on the notion of poverty as insufficient income or insufficient purchasing power. One can better categorize it by calling it income poverty. If poverty is ultimately about deprivations affecting human well-being, then income poverty is only one aspect of it. Poverty of a life, in our view, lies not merely in the impoverished state in which the person actually lives, but also in the lack of real opportunity given by social constraints as well as personal circumstances—to choose other types of living. Even the relevance of low incomes, meagre possessions, and other aspects of what are standardly seen as economic poverty relate ultimately to their role in curtailing capabilities, i.e., their role in severely restricting the choices people have to lead variable and valued lives.",What does the author mean by 'Poverty of a life'?,All deprivations in a human life which stem not only from lack of income but lack of real opportunities,Impoverished state of poor people in rural and urban areas,Missed opportunities in diverse personal circumstances,Material as well as non-material deprivations in a human life which restrict human choices permanently,A,,Reading Comprehension,,2022,
GS2,"In some places in the world, the productivity of staples such as rice and wheat has reached a plateau. Neither new strains nor fancy agrochemicals are raising the yields. Nor is there much unfarmed land left that is suitable to be brought under the plough. If global temperature continues to rise, some places will become unsuitable for farming. Application of technology can help overcome these problems. Agricultural technology is changing fast. Much of this change is brought about by affluent farmers in the West/Americas. Techniques developed in the West are being adapted in some places to make tropical crops more productive. Technology is of little use if it is not adapted. In the developing world, that applies as much to existing farming techniques as it does to the latest advances in genetic modification. Extending to the smallholders and subsistence farmers of Africa and Asia the best of today's agricultural practices, in such simple matters as how much fertilizers to apply and when, would lead to a greatly increased availability of food for humanity. So would things like better roads and storage facilities, to allow for the carriage of surpluses to markets and reduce wastage.","Based on the above passage, the following assumptions have been made:\n1. Development of agricultural tech is confined to developed countries.\n2. Agricultural technology is not adapted in developing countries.\nWhich of the above assumptions is/are valid?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,,Reading Comprehension,,2022,
GS2,"In some places in the world, the productivity of staples such as rice and wheat has reached a plateau. Neither new strains nor fancy agrochemicals are raising the yields. Nor is there much unfarmed land left that is suitable to be brought under the plough. If global temperature continues to rise, some places will become unsuitable for farming. Application of technology can help overcome these problems. Agricultural technology is changing fast. Much of this change is brought about by affluent farmers in the West/Americas. Techniques developed in the West are being adapted in some places to make tropical crops more productive. Technology is of little use if it is not adapted. In the developing world, that applies as much to existing farming techniques as it does to the latest advances in genetic modification. Extending to the smallholders and subsistence farmers of Africa and Asia the best of today's agricultural practices, in such simple matters as how much fertilizers to apply and when, would lead to a greatly increased availability of food for humanity. So would things like better roads and storage facilities, to allow for the carriage of surpluses to markets and reduce wastage.","Based on the above passage, the following assumptions have been made:\n1. Poor countries need to bring about change in their existing farming techniques.\n2. Developed countries have better infrastructure and they waste less food.\nWhich of the above assumptions is/are valid?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,,Reading Comprehension,,2022,
GS2,"In some places in the world, the productivity of staples such as rice and wheat has reached a plateau. Neither new strains nor fancy agrochemicals are raising the yields. Nor is there much unfarmed land left that is suitable to be brought under the plough. If global temperature continues to rise, some places will become unsuitable for farming. Application of technology can help overcome these problems. Agricultural technology is changing fast. Much of this change is brought about by affluent farmers in the West/Americas. Techniques developed in the West are being adapted in some places to make tropical crops more productive. Technology is of little use if it is not adapted. In the developing world, that applies as much to existing farming techniques as it does to the latest advances in genetic modification. Extending to the smallholders and subsistence farmers of Africa and Asia the best of today's agricultural practices, in such simple matters as how much fertilizers to apply and when, would lead to a greatly increased availability of food for humanity. So would things like better roads and storage facilities, to allow for the carriage of surpluses to markets and reduce wastage.","Based on the above passage, the following assumptions have been made:\n1. Growing enough food for future generations will be a challenge.\n2. Corporate farming is a viable option for food security in poor countries.\nWhich of the above assumptions is/are valid?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,,Reading Comprehension,,2022,
GS2,"Natural selection cannot anticipate future environments on the earth. Therefore, the set of existing organisms can never be fully prepared for environmental catastrophes that await life. An outcome of this is the extinction of those species which cannot overcome environmental adversity. This failure to survive, in modern terms, can be attributed to the genomes which are unable to withstand geological vagaries, or biological mishaps (infections, diseases and so on). In biological evolution on the earth, extinction of species has been a major feature. The earth may presently have up to ten million species, yet more than 90% of species that have ever lived on the earth are now extinct. Once again, the creationist doctrines fail to satisfactorily address why a divine creator will firstly bother to create millions of species and then allow them to perish. The Darwinian explanation for extinct life is once again simple, elegant and at once convincing—organisms go extinct as a function of environmental or biological assaults for which their inheritance deems them ill-equipped. Therefore, the so-called Darwinian theory of evolution is not a theory at all. Evolution happens—this is a fact. The mechanism of evolution (Darwin proposed natural selection) is amply supported by scientific data. Indeed, to date no single zoological, botanical, geological, paleontological, genetic, or physical evidence has refuted either of the central two main Darwinian ideas. If religion is not taken into consideration, Darwinian laws are acceptable just like the laws proposed by Copernicus, Galileo, Newton, and Einstein—sets of natural laws that explain natural phenomena in the universe.","According to the passage, natural selection cannot anticipate future environments on the earth as:\n1. species not fully prepared to face the environmental changes that await them will face extinction\n2. all the existing species would get extinct as their genomes will not withstand biological mishaps\n3. inability of the genome to withstand environmental changes would result in extinction\n4. extinction of species is a common feature\nSelect the correct answer using the code given below.","1, 2 and 3","2, 3 and 4","1, 3 and 4","1, 2 and 4",C,,Reading Comprehension,,2022,
GS2,"Natural selection cannot anticipate future environments on the earth. Therefore, the set of existing organisms can never be fully prepared for environmental catastrophes that await life. An outcome of this is the extinction of those species which cannot overcome environmental adversity. This failure to survive, in modern terms, can be attributed to the genomes which are unable to withstand geological vagaries, or biological mishaps (infections, diseases and so on). In biological evolution on the earth, extinction of species has been a major feature. The earth may presently have up to ten million species, yet more than 90% of species that have ever lived on the earth are now extinct. Once again, the creationist doctrines fail to satisfactorily address why a divine creator will firstly bother to create millions of species and then allow them to perish. The Darwinian explanation for extinct life is once again simple, elegant and at once convincing—organisms go extinct as a function of environmental or biological assaults for which their inheritance deems them ill-equipped. Therefore, the so-called Darwinian theory of evolution is not a theory at all. Evolution happens—this is a fact. The mechanism of evolution (Darwin proposed natural selection) is amply supported by scientific data. Indeed, to date no single zoological, botanical, geological, paleontological, genetic, or physical evidence has refuted either of the central two main Darwinian ideas. If religion is not taken into consideration, Darwinian laws are acceptable just like the laws proposed by Copernicus, Galileo, Newton, and Einstein—sets of natural laws that explain natural phenomena in the universe.",The passage suggests that Darwinian theory of evolution is not a theory at all because,it does not satisfy the creationist doctrine,extinction is a function of environment and biological assaults,there are no evidences to refute it,existence of organisms is attributed to a creator,B,,Reading Comprehension,,2022,
GS2,"Natural selection cannot anticipate future environments on the earth. Therefore, the set of existing organisms can never be fully prepared for environmental catastrophes that await life. An outcome of this is the extinction of those species which cannot overcome environmental adversity. This failure to survive, in modern terms, can be attributed to the genomes which are unable to withstand geological vagaries, or biological mishaps (infections, diseases and so on). In biological evolution on the earth, extinction of species has been a major feature. The earth may presently have up to ten million species, yet more than 90% of species that have ever lived on the earth are now extinct. Once again, the creationist doctrines fail to satisfactorily address why a divine creator will firstly bother to create millions of species and then allow them to perish. The Darwinian explanation for extinct life is once again simple, elegant and at once convincing—organisms go extinct as a function of environmental or biological assaults for which their inheritance deems them ill-equipped. Therefore, the so-called Darwinian theory of evolution is not a theory at all. Evolution happens—this is a fact. The mechanism of evolution (Darwin proposed natural selection) is amply supported by scientific data. Indeed, to date no single zoological, botanical, geological, paleontological, genetic, or physical evidence has refuted either of the central two main Darwinian ideas. If religion is not taken into consideration, Darwinian laws are acceptable just like the laws proposed by Copernicus, Galileo, Newton, and Einstein—sets of natural laws that explain natural phenomena in the universe.","With reference to the passage, the following assumptions have been made:\n1. Only species that have the ability to overcome environmental catastrophes will survive and perpetuate.\n2. More than 90% of the species on the earth are in the danger of getting extinct due to drastic changes in the environment.\n3. Darwin's theory explains all the natural phenomena.\nWhich of the above assumptions is/are valid?",1 only,1 and 2 only,3 only,"1, 2 and 3",A,,Reading Comprehension,,2022,
GS2,"With steady economic growth, higher literacy and increasing skill levels, the number of Indian middle-class families has gone up exponentially. Direct results of the affluence have been changes in dietary patterns and energy consumption levels. People have moved to a higher protein-based diet like milk products, fish and meat, all of which need significantly more water to produce than cereal based diets. Increasing use of electronic and electric machines/ gadgets and motor vehicles needs more and more energy and generation of energy needs water.","Which one of the following statements best reflects the crux of the passage? [cite: 5, 6]",People should be persuaded to continue with the mainly Indian traditional cereal-based diets. [cite: 6],India needs to focus on developing agricultural productivity and capacity for more energy generation in the coming years. [cite: 7],Modern technological developments result in the change of cultural and social behaviour of the people. [cite: 8],Water management practices in India need to change dramatically in the coming years. [cite: 9],D,,Reading Comprehension,,2022,
GS2,"For two or three generations past, ever-increasing numbers of individuals have been living as workers merely, not as human beings. An excessive amount of labour is rule today in every circle of society, with the result that man's spiritual element cannot thrive. He finds it very difficult to spend his little leisure in serious activities. He does not want to think; or he cannot even if he wants to. He seeks not self-improvement, but entertainment which would enable him to be mentally idle and to forget his usual activities. Therefore, the so-called culture of our age is dependant more on cinema than on theatre, more on newspapers, magazines, and crime stories than on serious literature.",The passage is based on the idea that [cite: 17],man should not work hard [cite: 17],the great evil of our age is overstraining [cite: 17],man cannot think well [cite: 17],man cannot care for his spiritual welfare [cite: 17],B,,Reading Comprehension,,2022,
GS2,"For two or three generations past, ever-increasing numbers of individuals have been living as workers merely, not as human beings. An excessive amount of labour is rule today in every circle of society, with the result that man's spiritual element cannot thrive. He finds it very difficult to spend his little leisure in serious activities. He does not want to think; or he cannot even if he wants to. He seeks not self-improvement, but entertainment which would enable him to be mentally idle and to forget his usual activities. Therefore, the so-called culture of our age is dependant more on cinema than on theatre, more on newspapers, magazines, and crime stories than on serious literature.",Man does not seek self-improvement because he [cite: 17],is not intellectually capable [cite: 17],has no time to do so [cite: 17],is distracted by materialism [cite: 17],loves amusement and is mentally idle [cite: 17],D,,Reading Comprehension,,2022,
GS2,"The demographic dividend, which has begun in India and is expected to last another few decades, is a great window of opportunity. The demographic dividend is basically a swelling in the working age population, which conversely means that the relative ratio of very young and very old will, for a while, be on the decline. From the experience of Ireland and China, we know that this can be a source of energy and an engine of economic growth. The demographic dividend tends to raise a nation's savings rate since in any nation, it is the working age population that is the main saver. And since the savings rate is an important driver of growth, this should help elevate our growth rate. However, the benefits of demographic dividend depend on the quality of the working age population. And this implies bringing back the importance of education, acquisition of skills and human capital.","Which of the following would invariably happen in a country, when the demographic dividend has begun to operate? \n1. The number of illiterate people will decrease. \n2. The ratio of very old and very young will decrease for a while. \n3. Population growth rate will quickly stabilize. \nSelect the correct answer using the code given below. [cite: 25, 26, 27, 28]",1 and 2 only,2 only,1 and 3 only,"1, 2 and 3",B,,Reading Comprehension,,2022,
